Index,Name,Stardate,Series,Episode,Klingons,Romulans,Vulcans,Tribbles,Talosians,Mirror Universe,Project Genesis,Time Travel,Polywater,Kirk Lies to AI,Kirk,McCoy,Spock,Scotty,Sulu,Pike,Uhura, Khan,Mudd,USS Defiant (NCC-1764),USS Enterprise (NCC-1701),USS Enterprise (NCC-1701-A),Notes
1,The Breach,Unknown,ENT,S2E21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,"In a Mirror, Darkly",141.7,ENT,S4E18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
3,Context if for Kings,Unknown,DIS,S1E03,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Choose Your Pain,Unknown,DIS,S1E05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
5,Magic to Make the Sanest Man Go Mad,Unknown,DIS,S1E07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
6,Into the Forest I Go,Unknown,DIS,S1E09,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,USS Defiant
7,Despite Yourself,Unknown,DIS,S1E10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
8,The Wolf Inside,Unknown,DIS,S1E11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
9,Vaulting Ambition,Unknown,DIS ,S1E12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
10,What's Past Is Prologue,Unknown,DIS,S1E13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,Will You Take My Hand?,Unknown,DIS,S1E15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,
12,If Memory Serves,1532.9,DIS,S2E08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Sarek
13,Such Sweet Sorrow,1050.8,DIS,S2E13/14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,
14,The Cage,Unknown,TOS,S0E01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,Links to DIS
15,The Corbomite,1512.2,TOS,S1E02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,
16,Mudd's Women,1329.8,TOS,S1E03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Also in DIS and TAS
17,The Enemy Within,1672.1,TOS,S1E04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,First of serval Duplications
18,The Naked Time,1704.2,TOS,S1E06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,Links to TNG naked Now
19,Balance of Terror,1709.1,TOS,S1E14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
20,Court Martial,2947.3,TOS,S1E14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,
21,The Menagerie,3012.4,TOS,S1E15/16,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,
22,Arena,3045.6,TOS,S1E19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Gorn also appear in ENT:In a Mirror Darkley
23,The Return of the Archons,3156.2,TOS,S1E22,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,
24,Space Seed,3141.9,TOS,S1E24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,
25,Errand of Mercy,3198.4,TOS,S1E27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
26,The City on the Edge of Forever,3134.6,TOS,S1E28,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,"Stardate from Draft teleplay, TAS YesterYear has gate, Time Travel"
27,Friday's Child,3497.2,TOS,S2E03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
28,The Changeling,3541.9,TOS,S2E08,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,
29,"Mirror, Mirror",Unknown,TOS,S2E10,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,1,0,0,0,1,0,
