Label,Category
The Borg,Species
Klingons,Species
Romulans,Species
Cardassians,Species
Bajorans,Species
Ferengi,Species
Vulcans,Species
Tribbles,Species
Talosians,Species
Augments,Species
Sarek,Character
Khan,Character
Mudd,Character
Kor,Character
Kang,Character
Q,Character
Lore,Character
The Traveller,Character
Marquis,Plot Arc
Mirror Universe,Plot Arc
Project Genesis,Plot Arc
Time Travel,Trope
Polywater,Plot Arc
Shore Leave Planet,Plot Arc
Parasite Infiltrate,Plot Arc
Red Shirt Dies,Trope
Kirk Lies to an AI,Trope
Kirk,TOS Crew
McCoy,TOS Crew
Spock,TOS Crew
Scotty,TOS Crew
Sulu,TOS Crew
Pike,TOS Crew
Uhura,TOS Crew
Riker,TNG Crew
Worf,TNG Crew
Alexander,Character
Tasha Yar,TNG Crew
Sela,Character
Data,TNG Crew
Picard,TNG Crew
Guinan,TNG Crew
Barclay,TNG Crew
Sisko,DS9 Crew
O'Brien,DS9 Crew
Bashir,DS9 Crew
Garek,Character
USS Defiant (NCC-1764),Ship
USS Enterprise (NCC-1701),Ship
USS Enterprise (NCC-1701-A),Ship
USS Enterprise (NCC-1701-D),Ship
USS Excelsior (NCC-2000),Ship
