Label,Category
Klingons,Species
Romulans,Species
Vulcans,Species
Tribbles,Species
Talosians,Species
Augments,Species
Khan,Character
Mudd,Character
Kor,Character
Mirror Universe,Plot
Project Genesis,Plot
Time Travel,Plot
Polywater,Plot
Shore Leave Planet,Plot
Red Shirt Dies,Plot
Kirk Lies to an AI,Plot
Kirk,Crew
McCoy,Crew
Spock,Crew
Scotty,Crew
Sulu,Crew
Pike,Crew
Uhura,Crew
USS Defiant (NCC-1764),Ship
USS Enterprise (NCC-1701),Ship
USS Enterprise (NCC-1701-A),Ship
USS Enterprise (NCC-1701-D),Ship
USS Excelsior (NCC-2000),Ship
