Series,Episode,var,Label
DIS,S2E01,Spock,Sarek
DIS,S2E07,Spock,Sarek
DIS,S2E13/14,Spock,Sarek
TOS,S2E15,Spock,Sarek
Star Trek,II,Spock,Sarek
Star Trek,III,Spock,Sarek
Star Trek,IV,Spock,Sarek
TNG,S5E07/08,Spock,Sarek
TAS,S1E02,Spock,Sarek
DIS,S2E06,Pike,Rise of the Kelpiens
DIS,S2E13/14,Pike,Rise of the Kelpiens
ENT,S4E04,Augments,Soong
ENT,S4E05,Augments,Soong
ENT,S4E06,Augments,Soong
ENT,S4E15,Klingons,Cranial Ridge
ENT,S4E16,Klingons,Cranial Ridge
DS9,S5E06,Klingons,Cranial Ridge
